"stop_number","stop_name","lon","lat","distance_from_center"
"1207","„Audėjas“",25.31164,54.67878,2.26621252223247
"1208","Srovės st.",25.31555,54.68188,2.38230875877012
"1209","Polocko st.",25.31286,54.68331,2.17622004140004
"1210","Filaretų st.",25.30853,54.68532,1.86293810899395
"1211","Belmontas",25.3194,54.68379,2.57913968803129
"1212","Rudens st.",25.32358,54.68599,2.81920013394474
"1213","Rudens st.",25.32505,54.6864,2.91117832169763
"1214","Šaudykla",25.33066,54.68899,3.27297531256278
"1215","Šaudykla",25.33243,54.68902,3.38676424535788
"1216","Mildos st.",25.34337,54.69162,4.1109629198393
"1217","Belmontas",25.32038,54.68403,2.63724923996024
"1218","Markučiai",25.32268,54.6743,3.12453076684694
"1301","Pelesos st.",25.28961,54.67091,1.95270584190947
"1302","Pelesos st.",25.29127,54.67108,1.97219199777963
"1303","Pelesos st.",25.29175,54.6714,1.95117698260844
"1304","Stadionas",25.29639,54.66848,2.37162428584487
"1305","Stadionas",25.2971,54.66756,2.48353387322582
"1306","Rasų kapinės",25.30109,54.67046,2.34010598377994
"1307","Rasų kapinės",25.30118,54.67002,2.38329892610338
"1308","Dunojaus st.",25.30673,54.66661,2.89979412790751
"1309","Dunojaus st.",25.30701,54.66644,2.92571004989779
"1310","Ribiškės",25.3126,54.66687,3.11838497491692
"1311","Ribiškės",25.31329,54.66684,3.15098792497827
"1312","Juodasis kelias",25.3246,54.66648,3.7113994267511
"1313","Juodasis kelias",25.32542,54.66634,3.76219334820527
"1314","Žirnių st.",25.30304,54.65485,3.92911274090741
"1315","Liepkalnis",25.30015,54.66298,3.02718821063834
"1316","Liepkalnis",25.29995,54.66287,3.03270821279788
"1317","Perlojos st.",25.29225,54.66464,2.66814879463258
"1318","Balstogės st.",25.30501,54.67221,2.35127595592487
"1319","Balstogės st.",25.30457,54.67137,2.40096193459838
"1401","Guriai",25.34007,54.66285,4.74834799540158
"1402","Guriai",25.34187,54.66331,4.81443696291001
"1403","Pavilnio sodai",25.34565,54.66494,4.92275088716326
"1404","Pavilnio sodai",25.34655,54.66501,4.96867146888039
"1405","Garsioji st.",25.35356,54.66689,5.26828370608106
"1406","Garsioji st.",25.35541,54.66692,5.37416732822693
"1407","Grūdų st.",25.35941,54.66794,5.5624028595224
"1408","Grūdų st.",25.35996,54.66867,5.56381169841582
"1409","Pavilnys",25.36119,54.6712,5.53848116309892
"1410","Pavilnys",25.36178,54.67171,5.55608269607919
"1411","Gamtininkų st.",25.36752,54.67492,5.81075472916791
"1412","Gamtininkų st.",25.36844,54.67501,5.86577684903528
"1413","Alėja",25.38291,54.67721,6.72679643581698
"1414","Alėja",25.38428,54.67718,6.81415450785983
"1415","Strelčiukai",25.39691,54.6779,7.60386405264501
"1416","Strelčiukai",25.39869,54.67783,7.71825331356463
"1417","Kinologijos centras",25.32053,54.64925,4.99780266704775
"1418","Minsko plentas",25.33736,54.64501,6.00464593253547
"1419","Sodai",25.34566,54.64299,6.5167066548538
"1420","Nemėžis",25.35628,54.64047,7.18156395114752
"1421","Žemasis Pavilnys",25.35934,54.67924,5.19535380657451
"1422","Guriai",25.34243,54.66245,4.89816621655976
"1423","Pranciškaus Baltraus Šivickio st.",25.34986,54.66124,5.36997271966423
"1424","Pranciškaus Baltraus Šivickio st.",25.34958,54.66132,5.35002557914472
"1425","Gurių sodai",25.35971,54.65986,5.9887245316273
"1426","Gurių sodai",25.35911,54.65997,5.9493446117566
"1427","Šumsko kryptis",25.3644,54.65889,6.30321346050288
"1428","Ašmenėlės st.",25.35536,54.66035,5.72157324834042
"1429","Ašmenėlės st.",25.35559,54.66028,5.73824509752935
"1430","Žiedų st.",25.35552,54.67762,4.99064084799173
"1431","Žiedų st.",25.35472,54.67737,4.94678617900061
"1432","Žemoji st.",25.35091,54.67615,4.74311709195494
"1433","Žemoji st.",25.35063,54.67619,4.72458131746659
"1434","Tuputiškės",25.34376,54.67649,4.29091125754489
"1435","Tuputiškės",25.34235,54.67655,4.20219415589208
"1436","Pavilnio regioninis parkas",25.33748,54.66007,4.80386621559023
"1437","Pavilnio regioninis parkas",25.33723,54.65995,4.79998625400455
"1501","Naujininkai",25.2732,54.66084,2.99797719273684
